,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
869,Tales of Destiny,2006OAVideoOAGame,"Adventure,Fantasy",NA,7.9,Add a Plot,10
870,Otaku Movie Anatomy,2015–OA,Talk-Show,60,NA,"Otaku Movie Anatomy hosts ChubbyBunny Michelle, Yume Ninja, and Jonathan Meza break down the very best and worst of anime centric movies.",NA
871,The Otaku Corner,2017,Talk-Show,NA,NA,The Otaku Corner aims to bring you all things pop culture. Be it a well thought out discussion on a new anime or a new or classic movie review. Join Andy and Igor two former film students as they sit down talk all things nerd.,NA
872,Tuer encore? Jamais plus!,2009,"Short,Action,Comedy",23,NA,What happens in a Vaudeville when the lover meets a killer in the closet?,NA
873,Anime Related 1,2006OAVideo,Documentary,93,NA,Add a Plot,NA
874,Yuki Kajiura Live,2008OAVideo,"Documentary,Music",100,8.0,"Composer and Song writer Yuki Kajiura appears LIVE in concert, featuring music from her animation and video game works over the last 5 years. Accompany her are members of her FictionJuction group.",12
875,Pretty guardians of a queer time and place (extract),2020OAVideo,Short,11,NA,Add a Plot,NA
876,Yu Yu Hakusho 100% Serious Battle,2018OAVideoOAGame,Action,NA,5.3,A Yu Yu Hakusho smart phone game featuring characters from the series.,9
877,Toonami: Broken Promise (Dreams),2001OAMusicOAVideo,Music,3,7.1,"An anime music video from Toonami for it's song, 'Broken Promise (Dreams)'.",12
878,Ultraman Super Fighter Legend,1996OAVideo,"Animation,Short,Action",40,NA,"From the north of the galaxy a dreadful menace, Comet Warrior God Tsuifon, is fast approaching the Earth destroying everything in its path. There awaits it Fighter Ultraman, the legendary ...                See full summary »",NA
879,Sekai Meisaku Gekijou Kanketsu Ban: Daisougen no Chiisana Tenshi Bush Baby Part 2,2001OATVOAMovie,Animation,45,NA,Add a Plot,NA
880,Magnos the Robot,1983,Animation,90,NA,"MAGNOS - The Robot is an exciting adventure pitting good versus evil. Malevolent space aliens threaten to conquer Earth. Can Janis and Lady Ester pilot the ultimate power robot, MAGNOS, to ...                See full summary »",NA
881,Bento Monogatari,2010,"Short,Comedy,Drama",27,7.3,"A woman tries to put some new life into her failed marriage by delving into the world of Japanese pop-culture. Every morning, she prepares a cute Japanese lunchbox (Bento) for her husband, ...                See full summary »",72
882,Super Sentai Spirits 2004 Live,2005OAVideo,Music,130,NA,"Super Sentai Spirits 2004 Live was held in Shibuya O-EAST in November of 2004. Popular singers such as Isao Sasaki and Hironobu Kageyama sung all 31 Super Sentai theme songs, from GoRanger to DekaRanger.",NA
883,Blaster Master Zero 3,2021OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,NA,"Blaster Master Zero 3's hybrid of sidescrolling and top-down action is back for its 3rd chapter, and more intense than ever before.",NA
884,UNO,IIOA2018,"Short,Action",2,NA,Two boys spend their time after class having an epic Uno battle.,NA
885,Happening Star,2012OAVideo,NA,50,NA,"The science-fiction adventure story takes place 46 million light years away from Earth in the Sombrero Galaxy on a planet named Milky. The alien boy Kid, who refers to himself as Space's #1...                See full summary »",NA
886,Momodora III,2014OAVideoOAGame,"Action,Adventure",NA,7.0,"Momodora III is a classic action platform game with a variety of items and secrets. It's the third installment of the Momodora series, although playing the previous titles is not necessary to enjoy the game.",9
887,Yo Reviews,2017–OA,Talk-Show,NA,NA,"Yo Ban Boo's review series. Movie, TV series, anime and game reviews related to the Asian culture, heritage, experience or not.",NA
888,Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,2015OAVideoOAGame,"Adventure,Family,Fantasy",NA,6.7,Bowser once again kidnaps princess Peach and it's up to Mario to save her with the help of his friends he meets up with along the way.,34
889,Melon Soda,2008,"Short,Action,Comedy",16,NA,"Poisoned by the city's pressure to develop a professional identity, Brian Barton; 24, sets out to find a job, find an identity, and find out that all he really needs is a friend.",NA
890,AnimeIntensity,2011–OA,Talk-Show,NA,NA,Add a Plot,NA
891,Super Robot Spirits 2003 -Spring Team-,2003OAVideo,Music,115,NA,"Fans of robot anime theme songs will be familiar with the ""Super Robot Spirits"" live tour that has been held every year since 1997, and the 2003 ""Spring Team"" performance held on April 29 ...                See full summary »",NA
892,Megazone 23 XI Pilot Film,2020,"Animation,Short,Action",10,NA,Add a Plot,NA
893,Paradise Heights 2,1995OAVideoOAGame,"Adventure,Romance",NA,NA,"Keigo's landed himself a job at a toy company and finally taken his first steps on the corporate ladder. The chairman likes him, and a bright future awaits. So what's the catch? Down at ...                See full summary »",NA
894,The Last Digidestined,2019,"Short,Drama,Sci-Fi",6,NA,A live action re-imagining of the franchise as classic as Pokemon. A strange computer glitch reunites two digidestined five years after they saved the world.,NA
895,Tower of the Murder Angel,2016OAVideo,"Short,Mystery",5,NA,Mysterious bells toll in a equally elusive tower.,NA
896,That Girl Is 1000%,1989OAVideo,"Animation,Short,Romance",10,6.1,"Azusa Kawahara is the soccer team manager who is going out with Ikumi, one of the team members. Lately Ikumi has been busy after school and this is making Azusa uncomfortable.",16
897,Immoral Study 2,1996OAVideoOAGame,"Adventure,Romance",NA,NA,"The main character is Professor Hitosuji, an excellent and well-known tutor. He can turn failing students into straight A students. His target this time is Yuka Ijima, the only daughter of ...                See full summary »",NA
898,Invasión,2005–2008,NA,NA,NA,Add a Plot,NA
899,Megazone 23 Part 1 DVD Commercial,2004OAVideo,"Animation,Short,Adventure",NA,NA,Add a Plot,NA
900,Toonami: Mad Rhetoric (Walking Stick),2001OAMusicOAVideo,Music,3,NA,"An anime music video from Toonami for it's song, 'Walking Stick'.",NA
901,Ys IV: Mask of the Sun,1993OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,Add a Plot,NA
902,Jack Move,2022OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,NA,"Jack Move is a fresh take on turn based Japanese style RPG's. Promising a unique blend of gritty cyberpunk storytelling, turn-based battles, and beautiful modern pixel art.",NA
903,Blaster Master Zero 2,2019OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,The side-scrolling/top-down hybrid action adventure gameplay returns with a brand new sequel to Blaster Master Zero.,NA
904,Investigating Anime,2010OAVideo,"Short,News",NA,2.8,Interviews and news about the anime and video game industry.,11
905,Flur: Blades of the Universe,2014–OA,Adventure,35,NA,"The normal life of High School senior Lida Garuzo, had always been considered peaceful; filled with plenty of friends, good times, and an annoying five-year-old little brother. However, ...                See full summary »",NA
906,BooruBrowser,2016OAVideoOAGame,Romance,NA,NA,"This is an app made for browsing Booru sites like Safebooru, Gelbooru and Danbooru. Take your anime images on the go.",NA
907,Megazone 23 Complete Collection DVD Commercial,2007OAVideo,"Animation,Short,Sci-Fi",NA,NA,A commercial for the Megazone 23 Complete Collection by ADV Films.,NA
908,Gtts,,Action,NA,NA,Add a Plot,NA
909,Himote House OVA,2020OAVideo,"Short,Comedy",16,NA,Add a Plot,NA
910,Saint October,2007,"Animation,Action,Adventure",NA,7.6,Add a Plot,14
911,Anime. Faszination des Fremden,2008,Documentary,60,NA,Documentary about Japanese animation and the anime fan community in Germany and Japan,NA
912,Translyatsia Safronova: Pro Konstruktory,2015OATVOASpecial,Talk-Show,65,2.5,A sudden live stream discussion about construction toys.,27
913,Propheteering,2009,"Short,Action,Comedy",7,NA,An interfaith couple can't decide what religion to raise their soon-to-be-born son in. So the two parents summon their respective deity/prophet (Jesus & Moses) to settle their dispute for ...                See full summary »,NA
914,Robonation Super Live Super Robot Spirits Vol.1,2004OAVideo,Music,111,NA,"The recording of the first animation song Live event ""Super Robot Spirits"", which has become a popular event, finally made available on DVD. Enjoy 22 songs of gems such as ""Mazinger Z"", ""...                See full summary »",NA
915,Khimera: Destroy All Monster Girls,2016OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,Play as Chelshia the chimera in this platforming beat-em-up adventure into the wonderful world of monster girls.,NA
916,Cotton 2: Magical Night Dreams,1997OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,Magical Night Dreams: Cotton 2 is the fourth installment in the fantasy shooting game series Cotton.,NA
917,ANNCast,2009OAPodcastOASeries,Talk-Show,NA,NA,Add a Plot,NA
918,Seikai no monshô tokubetsu hen,2000OATVOAMovie,Sci-Fi,90,NA,A compilation of the Seikai no Monshou series with additional footage.,NA
919,Castlevania: Resurrection,2021OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Castlevania: Resurrection is a canceled 3D Castlevania game that was supposed to be released on the Sega Dreamcast in march 2000, The game has been brought back from the dead and now can be playable online.",NA
920,Robotech: The New Generation,2007OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,6.5,Add a Plot,15
921,Angel Halö,1996OAVideoOAGame,"Adventure,Fantasy,Mystery",NA,NA,The story is set in December 1999. A story of a strange fate in which an ordinary student attending a school in the north of Kyoto is caught up in the devil's resurrection drama and God's ...                See full summary »,NA
922,Assholitis,2017,"Short,Comedy",6,NA,Dennis is laying on his sofa sick as his roommate Tobias starts heading out to meet his girlfriend. Things start to take a twisted turn once Dennis discovers who Tobias' girlfriend is.,NA
923,Engimon,2018,"Animation,Short",24,NA,Add a Plot,NA
924,Nero: Innocence,2010OAMusicOAVideo,Music,4,NA,"A music video for Nero's song ""Innocence"".",NA
925,Ring Out!!,1995OAVideoOAGame,"Adventure,Crime",NA,NA,"When Aya got up this morning, she was an average Japanese college girl. Sold to the Yakuza to when her parents can't pay off their debts, she is forced into a sordid live of lesbian ...                See full summary »",NA
926,Rose Blood,1996OAVideoOAGame,"Adventure,Crime,Mystery",NA,NA,Add a Plot,NA
927,Evan's Remains,2020OAVideoOAGame,"Action,Adventure,Mystery",NA,6.7,Evan's Remains is a mystery-thriller puzzle adventure about finding a missing boy: Evan. The game combines logic-based platform puzzles with visual-novel style narrative inspired by Japanese graphic adventure games.,12
928,Hamtaro: Ham-Ham Heartbreak,2002OAVideoOAGame,"Action,Adventure,Family",NA,7.3,"When a mean-spirited hamster named Spat starts squabbles among the rest of the hamsters, Hamtaro and Bijou set out on a quest to get friends to make up and save the day.",8
929,All Alone with You,2013OAMusicOAVideo,"Animation,Short,Fantasy",5,5.5,All Alone With You is the fourth single by the music group EGOIST and is used as the second ending theme song of Psycho-Pass. The limited edition release includes a DVD with an animated music video.,15
930,Shabu Shabu Manga,2009,"Short,Action,Comedy",14,NA,An eight year old girl obsessed with Japanese manga uses the power of her favorite superhero to fight the school bullies to surprising results.,NA
931,Drill Dozer,2005OAVideoOAGame,"Action,Adventure",NA,7.3,A vigilante band of thieves goes in pursuit of a red gem stolen from them by an evil genius. Their weapon? A little girl in a drilling mech.,41
932,Mega Man Battle Network 2,2001OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.3,"Capcom continues Mega Man's cyber adventure series with more online chaos, Return to the futuristic universe inside cyber space and join Mega Man.EXE in the battle to fight cyber crimes in this mega role playing adventure.",30
933,A Girl in a Lower Grade,1999,"Animation,Drama,Romance",NA,NA,"When Tsuyoshi rushed to school as usual, he found a girl who tried to help a kitten which couldn't get down from a tree. It was Minamizato Ai who had loved Tsuyoshi secretly for a long time.",NA
934,Air Strike 1944: Flight for Freedom,2006OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,NA,Gameloft returns to the Siberian Strike series with this new sequel to the iconic shoot'em-up series.,NA
935,Dead Estate,2021OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.5,"Cornered with nowhere else to turn, can you escape the monster-filled mansion? Dead Estate is a gory, fast-paced, challenging roguelike shooter, with a heavy emphasis on horror influences.",9
936,Parodius Portable,2007OAVideoOAGame,"Action,Adventure,Comedy",NA,NA,Parodius Portable is a collection of several games from the Parodius series released exclusively in Japan for the PlayStation Portable (PSP) system.,NA
937,3x3 Eyes: Sanjiyan Henjou,1993OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,NA,Add a Plot,NA
